Ikke-kodende DNA;DNA som ikke koder for egenskaper. Faktisk mesteparten av vårt DNA (98% - 99%).
Telomer;Deler av DNA som forkortes hver gang en celle deler seg.
STR-områder;Områder i ikke-kodende DNA som har repeterende sekvenser av DNA. Antallet repetisjoner for hvert område kan identifisere mennesker og til og med slektskap.
Elektroforese;En metode hvor man skiller biter av DNA basert på lengde ved å legge de i en gel og sette en spenning over. Resultatet er en slags strekkode som brukes til identifikasjon.
DNA-profil;En identifikasjon av et menneske basert på DNA f.eks ved STR-metoden. Må sammenliknes med andre DNA-profiler for å få en match.
DNA-fenotyping;Når man analyserer gener fra DNA for å få informasjon om fenotypen til f.eks en antatt gjerningsperson. Har morderen blå øyne?
Rettsgenetiker;En fagperson som ofte jobber med genetikk og DNA i kriminalsaker eller slektskapsanalyser.
Gentest;Identifikasjon av ett gen eller flere gener. Kan for eksempel brukes til å avdekke alvorlig sykdom eller helt vilkårlige gener.
