Kunstig inseminasjon;Å føre sædceller direkte inn i livmor med et redskap.
In vitro-fertilisering;Kvinnen går gjennom hormonbehandling som modner flere egg enn vanlig. Egg blir tatt ut av livmor og befruktet i et prøverør utenfor kvinnen.
Mikroinjeksjon;Sæd føres direkte inn i en eggcelle med en mikropipette.
Sæddonasjon;Donasjon av sæd som andre kan bruke til å få barn. Barnet har rett til å vite biologisk far ved fylte 15 år.
Eggdonasjon;Donasjon av egg. Kvinnen må gjennom hormonbehandling for å "modne" flere egg. Ikke lov i Norge før 2020.
Surrogati;Et befruktet egg blir satt inn i en annen kvinne enn det opprinnelig kom fra. Surrogatmor er gravid med en annens barn. Ulovlig i Norge.
Nedfrysning av kjønnsceller;Sædceller og eggceller kan fryses ned og lagres i mange år. Noen gjør det mens de fortsatt er "unge" for å ivareta eggene sine.
Fosterdiagnostikk;Undersøkelser av et ufødt barn mens det er i magen. Ultralyd, NIPT etc.
NIPT;En blodprøve av en gravid mor som avdekker kromosomavvik som Downs syndrom med høy sannsynlighet.
Preimplantasjonsdiagnostikk;Gentest av et befruktet egg. Avdekker f.eks alvorlig arvelig sykdom. Kan i teorien brukes til å teste for vilkårlige gener.
